Level 1,Measure Names,Adjust Ad?,Ads Manager Link,Campaign Mission,Campaign Preview Link,Measure Values
6941250674258,People Baptized and Confirmed,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,0
6941250674258,People Who Attended Sacrament,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,6
6941250674258,New People Being Taught,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,40
6941250674258,Cost Per Facebook Lead,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,34.046153846
6941250674258,Ad Leads,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,260
6941250674258,People Found,Grow,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6939918286058&selected_adset_ids=6941249357058&selected_ad_ids=6941250674258&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,133
6934720465058,Forecasted Cost Per Baptism,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6934707009058&selected_adset_ids=6934707009458&selected_ad_ids=6934720465058&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,7404.713412536
6934720465058,Forecasted Baptisms,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6934707009058&selected_adset_ids=6934707009458&selected_ad_ids=6934720465058&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,0.848513595
6934720465058,Forecasted % Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6934707009058&selected_adset_ids=6934707009458&selected_ad_ids=6934720465058&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,0.006017827
6934720465058,% Found Baptized,-,https://business.facebook.com/adsmanager/manage/ads?act=59491887&selected_campaign_ids=6934707009058&selected_adset_ids=6934707009458&selected_ad_ids=6934720465058&date=2026-01-01_2026-06-12&insight_date=2026-01-01_2026-06-12&comparison_date=2026-01-01_2026-06-12,California Bakersfield Mission,,0
